City,County,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,medianHome,medianMortgage,medianNonMort,medianRent,retail,medianIncome,perCapIncome,householdSize,commuteTime,popdensity,population
Adelanto,San Bernardino,70,30,51712,55093,2502384,77,32500,0.182,0.003,0.015,0.001,0.053,0.595,0.151,0.78,0.215,0.47,0.481,0.647,0.061,0.14,0.422,129900,1165,365,1034,2587,29647,10230,3.81,41,596.1613998,33391
Agoura Hills,Los Angeles,109,0,NA,NA,1162176,56,85320,0.015,0,0.064,0,0.03,0.126,0.765,0.141,0.176,0.758,0.198,0.948,0.537,0.044,0.061,699200,2825,818,1998,18132,114313,53706,2.8,29.7,2663.029525,20745
Alameda,Alameda,923,502,104159,141926,81284590,1050,70254,0.075,0.003,0.303,0.007,0.075,0.116,0.422,0.194,0.266,0.468,0.339,0.909,0.503,0.084,0.095,677000,2760,661,1478,6507,83048,45590,2.48,32,7436.946277,78906
Alhambra,Los Angeles,637,309,86120,116731,48810631,575,38366,0.018,0.004,0.497,0.002,0.029,0.361,0.089,0.383,0.498,0.404,0.734,0.812,0.33,0.151,0.154,518800,2171,488,1235,19409,53138,25913,2.89,30.3,11202.35911,85474
Aliso Viejo,Orange,30,15,90539,113334,2595232,51,80758,0.021,0.005,0.156,0,0.064,0.159,0.596,0.185,0.214,0.599,0.283,0.968,0.575,0.061,0.048,539000,2666,744,1933,10109,103261,46026,2.68,26,6884.069612,51424
American Canyon,Napa,171,67,74634,88027,7672001,377,50961,0.077,0.005,0.343,0.004,0.065,0.265,0.24,0.347,0.335,0.765,0.478,0.839,0.292,0.07,0.097,374200,2361,503,1616,10814,83673,30596,3.57,33.4,4225.619835,20452
Anaheim,Orange,3488,1768,107182,144275,318768103,919,37776,0.022,0.004,0.157,0.005,0.03,0.527,0.255,0.553,0.369,0.453,0.618,0.76,0.248,0.191,0.162,457600,2276,518,1402,10948,61826,24996,3.42,28.4,7043.398876,351043
Anderson,Shasta,77,53,57252,79927,4904477,482,31414,0.005,0.023,0.023,0.001,0.053,0.137,0.758,0.165,0.034,0.503,0.081,0.872,0.073,0.157,0.217,158000,1146,335,803,20227,35216,17993,2.5,17.8,1606.279435,10232
Antioch,Contra Costa,545,231,104965,150746,43150595,397,47998,0.188,0.01,0.097,0.009,0.085,0.312,0.299,0.51,0.219,0.608,0.342,0.87,0.214,0.102,0.143,291400,1992,456,1439,8902,65530,26385,3.18,45.2,3911.746032,110898
Apple Valley,San Bernardino,262,82,65712,90021,10755432,150,41418,0.08,0.011,0.03,0,0.045,0.328,0.507,0.419,0.09,0.64,0.18,0.85,0.165,0.11,0.198,194100,1432,475,955,8460,47433,23648,3.02,31.5,991.2966252,72553
Arcadia,Los Angeles,462,264,100180,145065,43952544,761,57356,0.018,0.002,0.588,0.003,0.036,0.12,0.233,0.14,0.479,0.594,0.623,0.919,0.52,0.091,0.095,920700,3151,734,1460,14963,83958,40012,2.97,31.1,5354.345837,58523
Arcata,Humboldt,323,102,54881,78765,10906594,613,40577,0.025,0.022,0.021,0.002,0.066,0.164,0.7,0.211,0.039,0.347,0.152,0.935,0.494,0.15,0.401,322700,1464,424,887,9565,31180,20245,2.25,17.3,1975.164835,17974
Arroyo Grande,San Luis Obispo,141,65,72026,92858,8447616,473,50750,0.008,0.007,0.071,0,0.032,0.153,0.73,0.168,0.109,0.691,0.152,0.932,0.369,0.083,0.065,472400,2131,493,1126,17978,64261,35275,2.46,21.3,3098.80137,18097
Artesia,Los Angeles,47,28,54143,69584,2339193,139,39828,0.024,0.002,0.367,0.002,0.036,0.372,0.196,0.398,0.481,0.515,0.668,0.785,0.267,0.171,0.136,419500,2036,355,1396,12335,58651,22470,3.5,27.4,10416.04938,16874
Arvin,Kern,64,40,72202,84860,4215425,205,20408,0.014,0,0.001,0.005,0.017,0.905,0.059,0.919,0.424,0.459,0.882,0.355,0.022,0.232,0.284,116900,1082,330,814,2389,36524,10685,4.39,28.4,4374.688797,21086
Atascadero,San Luis Obispo,220,109,79258,101569,13231107,448,49176,0.012,0.003,0.022,0.002,0.03,0.166,0.766,0.181,0.061,0.608,0.116,0.933,0.316,0.099,0.092,397400,2022,486,1216,10360,69587,33655,2.59,22.7,1182.917317,30330
Atherton,San Mateo,47,34,133758,168648,6082400,853,208917,0.004,0.004,0.144,0.001,0.05,0.051,0.747,0.059,0.185,0.929,0.184,0.974,0.796,0.014,0.045,NA,NA,NA,3095,12878,NA,146572,2.84,24.6,1435.657371,7207
Atwater,Merced,175,48,71912,94188,7155843,247,31582,0.03,0.008,0.051,0,0.041,0.542,0.327,0.58,0.219,0.508,0.476,0.725,0.137,0.135,0.234,160200,1308,392,897,8958,45800,18417,3.22,24.9,4806.239737,29270
Auburn,Placer,107,60,80974,120078,9254357,667,37163,0.005,0.004,0.021,0,0.064,0.088,0.817,0.097,0.066,0.552,0.103,0.923,0.342,0.095,0.129,371000,1966,549,1066,20794,54227,36613,2.2,24.3,1955.602241,13963
Avenal,Kings,60,42,64881,81853,4255377,313,28267,0.065,0.013,0.013,0.001,0.029,0.764,0.115,0.842,0.339,0.424,0.682,0.481,0.027,0.196,0.328,120400,1058,336,726,1636,35103,7992,4.22,33.1,641.915551,12466
Azusa,Los Angeles,422,219,100943,116057,32851709,677,34764,0.028,0.005,0.105,0.002,0.037,0.62,0.203,0.653,0.293,0.531,0.561,0.787,0.198,0.159,0.162,342000,1923,407,1274,9930,56569,19432,3.49,28,5137.47412,49628
Bakersfield,Kern,1846,1333,72299,104490,167636501,456,40366,0.076,0.013,0.07,0.002,0.035,0.469,0.336,0.558,0.19,0.568,0.41,0.796,0.213,0.131,0.197,214600,1585,459,1005,14679,58669,24392,3.2,22.6,2647.580191,376380
Baldwin Park,Los Angeles,400,153,71993,100099,20164655,263,31153,0.02,0.011,0.172,0.003,0.02,0.737,0.038,0.768,0.443,0.571,0.824,0.647,0.118,0.212,0.161,333500,1748,381,1277,7005,53651,16440,4.32,30.4,11533.03167,76464
Banning,Riverside,226,130,72867,101274,16598814,541,31058,0.082,0.03,0.046,0.001,0.032,0.423,0.386,0.535,0.169,0.648,0.319,0.792,0.153,0.19,0.232,177000,1238,483,968,5830,40627,19529,2.69,25.5,1343.116883,31026
Barstow,San Bernardino,217,117,96945,111126,17536056,748,34978,0.143,0.017,0.031,0.02,0.064,0.436,0.289,0.596,0.096,0.451,0.267,0.773,0.117,0.112,0.367,96000,1077,356,714,29182,37085,16897,3.11,23,576.0029,23835
Beaumont,Riverside,164,105,71955,84406,10972459,260,45422,0.051,0.008,0.08,0.002,0.055,0.407,0.398,0.466,0.178,0.735,0.324,0.867,0.245,0.105,0.113,250500,1924,557,1205,8841,68369,26066,3.29,32.3,1467.130379,45349
Bell,Los Angeles,191,64,79870,107630,8215471,228,27709,0.015,0.004,0.01,0.003,0.012,0.912,0.044,0.931,0.419,0.283,0.895,0.493,0.069,0.257,0.253,322900,1784,457,1023,3588,38823,12972,3.96,30.7,14345.6,35864
Bellflower,Los Angeles,239,77,68068,86368,10067641,129,37081,0.132,0.005,0.126,0.001,0.041,0.537,0.159,0.674,0.309,0.388,0.548,0.779,0.177,0.169,0.17,367300,1989,411,1195,7130,50704,21527,3.31,29.2,12710.78431,77790
Bell Gardens,Los Angeles,280,120,76037,107236,17352528,405,23797,0.009,0.003,0.008,0,0.01,0.94,0.031,0.952,0.431,0.21,0.906,0.448,0.051,0.273,0.294,318700,1671,366,1142,7513,37183,11544,4.42,28.7,17400.81301,42806
Belmont,San Mateo,195,106,105375,129147,18191010,675,105732,0.012,0.001,0.246,0.003,0.059,0.127,0.552,0.14,0.311,0.601,0.381,0.946,0.583,0.048,0.047,1074600,3555,699,1784,11035,120169,61617,2.59,28.7,5861.688312,27081
Benicia,Solano,500,172,83038,113529,25917325,932,71518,0.057,0.004,0.122,0.002,0.069,0.152,0.594,0.213,0.123,0.676,0.16,0.955,0.424,0.062,0.071,475500,2279,610,1429,9722,87011,44572,2.52,33.1,2178.96365,28174
Berkeley,Alameda,2181,1122,95938,140723,196389407,1656,71530,0.083,0.005,0.189,0.003,0.066,0.109,0.546,0.197,0.206,0.426,0.28,0.959,0.718,0.063,0.199,795200,2869,786,1434,11620,70393,44611,2.31,28.3,11579.75167,121240
Beverly Hills,Los Angeles,1218,738,96912,129606,126357426,3649,84665,0.012,0.001,0.094,0,0.049,0.057,0.788,0.07,0.388,0.413,0.52,0.959,0.613,0.09,0.102,1900500,NA,NA,1988,84116,100630,78343,2.37,23.8,6074.781086,34687
Big Bear Lake,San Bernardino,116,79,69908,114314,10458444,2031,37365,0.013,0.004,0.01,0.019,0.004,0.223,0.727,0.24,0.131,0.558,0.177,0.902,0.255,0.213,0.185,384100,1843,617,925,31856,46655,31980,2.37,18.4,824.4094488,5235
Bishop,Inyo,151,33,85884,111659,4727508,1233,41038,0.013,0.004,0.01,0.019,0.004,0.223,0.727,0.24,0.131,0.558,0.177,0.902,0.255,0.213,0.185,384100,1843,617,925,31856,46655,31980,2.37,18.4,824.4094488,5235
Blythe,Riverside,110,50,61668,80646,5543215,281,32107,0.128,0.007,0.022,0.003,0.028,0.545,0.268,0.68,0.176,0.512,0.435,0.703,0.087,0.16,0.237,126300,1341,371,714,8111,40448,14571,2.64,16.9,751.9282169,19693
Brawley,Imperial,262,97,61518,85086,13658473,529,34185,0.014,0.006,0.01,0.002,0.047,0.792,0.13,0.812,0.254,0.535,0.668,0.718,0.115,0.139,0.285,150100,1306,453,775,5552,40745,16838,3.62,19.4,3404.817708,26149
Brea,Orange,541,278,95245,126552,44096285,1066,60725,0.015,0.006,0.196,0,0.045,0.289,0.449,0.31,0.204,0.608,0.297,0.931,0.438,0.1,0.072,579600,2470,619,1616,31252,85555,38543,2.81,32.3,3515.811258,42471
Brentwood,Contra Costa,457,246,97953,123562,36671732,644,61371,0.074,0.001,0.08,0.002,0.071,0.257,0.516,0.332,0.156,0.717,0.229,0.906,0.283,0.057,0.074,428500,2496,730,1977,10381,94130,35013,3.15,42.6,4092.765382,60532
Brisbane,San Mateo,181,71,105817,127090,10541403,2307,73268,0.074,0.001,0.08,0.002,0.071,0.257,0.516,0.332,0.156,0.717,0.229,0.906,0.283,0.057,0.074,428500,2496,730,1977,10381,94130,35013,3.15,42.6,4092.765382,60532
Buellton,Santa Barbara,40,17,72179,92348,2017316,401,47813,0.025,0.012,0.011,0,0.039,0.315,0.598,0.352,0.169,0.702,0.261,0.871,0.311,0.155,0.05,410200,1988,393,1357,26173,71932,31326,2.63,22,3224.683544,5095
Buena Park,Orange,518,228,93597,119268,34226965,413,41363,0.03,0.005,0.282,0.007,0.032,0.392,0.252,0.427,0.37,0.556,0.553,0.819,0.291,0.16,0.141,448900,2178,435,1421,21071,70341,25236,3.51,29.8,7904.562738,83156
Burbank,Los Angeles,1791,973,96485,126714,165039838,1578,56495,0.025,0.004,0.113,0,0.048,0.247,0.563,0.276,0.342,0.412,0.47,0.887,0.4,0.133,0.115,611000,2651,524,1446,22193,67317,35959,2.5,26.9,6023.471742,104447
Burlingame,San Mateo,393,216,86444,115691,30809753,1022,94432,0.012,0.004,0.235,0.004,0.064,0.115,0.566,0.131,0.278,0.466,0.342,0.963,0.605,0.065,0.072,1447400,NA,841,1789,26177,102443,64525,2.43,29,6870.975057,30301
Calabasas,Los Angeles,278,82,73409,100358,11148443,462,91151,0.022,0.002,0.1,0,0.053,0.071,0.752,0.095,0.25,0.693,0.266,0.977,0.64,0.047,0.069,926800,3870,1054,2191,24941,111111,60035,2.74,32.7,1874.108527,24176
Calexico,Imperial,148,112,81559,111088,13722918,345,29653,0.002,0,0.009,0,0.028,0.945,0.017,0.947,0.46,0.509,0.96,0.589,0.145,0.208,0.263,165300,1333,372,839,10999,34734,13365,4.28,22.6,4795.23242,40232
California City,Kern,185,91,62441,85421,9643600,721,38750,0.202,0.014,0.045,0.001,0.062,0.264,0.413,0.48,0.141,0.559,0.229,0.79,0.113,0.128,0.263,93000,1155,363,862,3255,48776,19849,2.74,33.7,67.34964623,13707
Calimesa,Riverside,20,9,48825,65509,935767,111,55083,0.011,0.018,0.025,0.001,0.032,0.247,0.667,0.276,0.079,0.839,0.145,0.894,0.151,0.161,0.163,168700,1582,468,990,8571,46070,26436,2.5,34.6,580.2020202,8616
Calipatria,Imperial,42,8,51484,64038,946890,126,36050,0.152,0.003,0.009,0.001,0.056,0.726,0.053,0.881,0.215,0.498,0.658,0.584,0.03,0.119,0.335,93200,915,275,722,927,34800,6556,3.75,18.8,2023.11828,7526
Calistoga,Napa,150,37,92728,108688,5706695,1080,38980,0.005,0.01,0.029,0.002,0.003,0.483,0.469,0.498,0.373,0.589,0.532,0.763,0.259,0.17,0.089,475800,2403,676,1153,13167,60534,34876,2.6,17.5,2042.692308,5311
Camarillo,Ventura,192,119,96878,128064,18746591,281,59457,0.02,0.002,0.099,0,0.056,0.242,0.579,0.264,0.147,0.674,0.224,0.922,0.404,0.079,0.062,493800,2373,557,1763,23144,88125,40250,2.72,23.5,3449.206349,67363
Campbell,Santa Clara,490,192,97844,126565,26635977,653,75573,0.022,0.004,0.176,0,0.051,0.184,0.562,0.21,0.243,0.501,0.308,0.936,0.515,0.077,0.068,804500,3124,605,1821,18819,103704,51269,2.58,25.5,7058.448276,40939
Canyon Lake,Riverside,19,4,55352,58831,465225,42,55522,0.008,0.003,0.014,0.001,0.023,0.149,0.802,0.16,0.044,0.82,0.073,0.945,0.259,0.058,0.063,379400,2375,634,1708,1081,84015,40072,2.64,43.7,2833.842239,11137
Capitola,Santa Cruz,151,55,84506,103842,7393886,731,55474,0.014,0.009,0.042,0,0.066,0.227,0.643,0.25,0.158,0.443,0.23,0.934,0.369,0.133,0.116,560500,2445,584,1703,46429,73935,41695,2.22,25.9,6402.515723,10180
Carlsbad,San Diego,1338,615,88632,123480,92187866,823,79139,0.011,0.003,0.075,0.002,0.041,0.139,0.729,0.153,0.148,0.639,0.176,0.957,0.555,0.085,0.079,674400,2885,675,1830,24233,97145,49349,2.6,28.6,3020.996819,113952
Carpinteria,Santa Barbara,116,31,67794,93043,3849985,284,47374,0.003,0.009,0.041,0,0.023,0.408,0.516,0.42,0.247,0.568,0.383,0.821,0.344,0.16,0.088,605200,2561,557,1631,11093,72901,37869,2.69,23.5,5283.397683,13684
Carson,Los Angeles,1120,257,74243,114036,41741742,449,40984,0.203,0.008,0.245,0.022,0.074,0.379,0.07,0.59,0.346,0.752,0.54,0.8,0.244,0.143,0.113,366700,2021,422,1422,15037,73829,25183,3.64,27.1,4957.104701,92797
Cathedral City,Riverside,198,148,111466,136087,23425016,439,30705,0.027,0.007,0.045,0.001,0.024,0.59,0.305,0.624,0.319,0.598,0.541,0.763,0.18,0.266,0.218,203900,1577,559,1132,15006,41696,20507,2.99,20.7,2514.232558,54056
Ceres,Stanislaus,252,167,77286,110532,21640307,458,36953,0.021,0.008,0.066,0.006,0.042,0.586,0.272,0.615,0.268,0.596,0.575,0.691,0.1,0.117,0.167,180200,1429,407,1039,9706,49518,18715,3.58,27.7,6027.21598,48278
Cerritos,Los Angeles,628,199,64800,99217,26694892,536,63496,0.082,0.003,0.601,0.001,0.035,0.126,0.152,0.211,0.452,0.789,0.592,0.927,0.504,0.098,0.048,620500,2434,470,2192,49968,95373,36449,3.24,32.7,5790.950745,50555
Chico,Butte,446,353,79497,124644,48159332,538,37195,0.021,0.007,0.041,0.003,0.055,0.159,0.715,0.187,0.081,0.434,0.15,0.924,0.362,0.127,0.252,270900,1612,474,955,20415,43148,24948,2.47,16.6,2781.500608,91567
Chino,San Bernardino,673,337,84465,109103,47521146,567,43686,0.055,0.006,0.112,0.002,0.077,0.501,0.247,0.562,0.227,0.644,0.42,0.773,0.202,0.143,0.122,365500,2087,501,1446,14831,72832,22148,3.43,33.9,2961.403509,87776
Chino Hills,San Bernardino,325,129,77272,116959,20080128,259,62150,0.04,0.003,0.324,0.002,0.049,0.27,0.312,0.313,0.29,0.775,0.422,0.934,0.448,0.089,0.067,537800,2457,656,1916,8314,97222,36145,3.21,38.2,1764.145031,78822
Chowchilla,Madera,80,40,69731,83070,4663075,256,27419,0.098,0.025,0.016,0.005,0.05,0.436,0.369,0.559,0.156,0.481,0.4,0.707,0.08,0.189,0.314,152900,1255,425,953,5400,35903,12932,3.2,23,2380.678851,18236
Chula Vista,San Diego,1394,850,94810,132775,128011222,491,43554,0.045,0.003,0.147,0.005,0.051,0.567,0.181,0.615,0.31,0.581,0.583,0.808,0.279,0.132,0.122,402000,2355,448,1351,10872,66956,25750,3.32,28,5383.276244,267172
Citrus Heights,Sacramento,271,171,88844,113695,23051280,268,40042,0.036,0.009,0.037,0.001,0.049,0.185,0.682,0.23,0.141,0.551,0.196,0.896,0.19,0.138,0.145,218200,1537,439,1048,12132,51715,25515,2.53,25.7,6144.202389,87432
Claremont,Los Angeles,283,140,77407,106027,20320521,567,67237,0.042,0.007,0.153,0,0.044,0.237,0.516,0.286,0.194,0.655,0.295,0.936,0.568,0.061,0.095,581100,2666,630,1399,10709,94005,40743,2.67,26.7,2701.048689,36059
Clayton,Contra Costa,48,19,85170,111160,2629434,225,101875,0.003,0.008,0.067,0.002,0.066,0.082,0.773,0.093,0.099,0.902,0.108,0.979,0.543,0.014,0.028,629200,3062,695,2490,5414,136946,56295,2.81,37.7,3122.916667,11992
Clearlake,Lake,67,38,74300,87306,4000718,265,24065,0.054,0.033,0.001,0.003,0.034,0.245,0.631,0.332,0.091,0.502,0.196,0.768,0.091,0.178,0.381,84200,1043,369,805,11210,25426,15463,2.35,27.2,1485.982231,15053
Cloverdale,Sonoma,57,34,82956,113477,4968880,567,41923,0.012,0.034,0.03,0,0.034,0.327,0.563,0.373,0.185,0.683,0.323,0.827,0.232,0.106,0.054,355200,1880,529,1171,6248,64144,30037,2.74,28.3,3321.132075,8801
Clovis,Fresno,688,461,84799,110187,60904762,596,49806,0.026,0.01,0.104,0.003,0.041,0.281,0.535,0.317,0.118,0.599,0.239,0.895,0.307,0.094,0.132,263500,1837,507,1093,15171,64640,29876,2.9,21.1,4578.30756,106583
Coachella,Riverside,89,63,82309,95583,7844495,178,25967,0.008,0.008,0.001,0,0.005,0.962,0.016,0.978,0.396,0.649,0.881,0.522,0.033,0.268,0.301,161400,1383,475,895,6075,36124,12846,3.85,21.8,1552.780656,44953
Coalinga,Fresno,131,72,59778,78191,7051242,424,32048,0.056,0.008,0.024,0.004,0.054,0.552,0.302,0.616,0.194,0.534,0.436,0.71,0.117,0.131,0.237,153000,1447,404,833,6579,51265,17892,3.04,20.5,2712.091503,16598
Colton,San Bernardino,434,254,85319,114885,35411973,657,32151,0.078,0.008,0.047,0.007,0.031,0.668,0.161,0.754,0.216,0.502,0.457,0.739,0.132,0.185,0.205,189500,1471,403,1044,9052,43966,17612,3.34,26,3571.279373,54712
Colusa,Colusa,65,33,61499,68400,2705197,455,32009,0.013,0.007,0.017,0.003,0.04,0.534,0.387,0.554,0.194,0.602,0.417,0.721,0.161,0.144,0.18,194900,1378,397,805,12768,48877,22392,2.83,24.7,3244.262295,5937
Commerce,Los Angeles,499,238,61072,87949,25617331,1971,30265,0.009,0.01,0.009,0.001,0.024,0.936,0.012,0.955,0.327,0.417,0.757,0.554,0.07,0.225,0.163,343200,1600,333,988,72989,42235,15591,3.59,26.5,1983.639144,12973
Compton,Los Angeles,478,432,49721,82294,40537315,414,27591,0.305,0.004,0.01,0.003,0.018,0.65,0.011,0.959,0.306,0.545,0.626,0.608,0.082,0.209,0.255,264300,1636,376,1110,3780,45406,14820,4.09,29.8,9745.254745,97550
Concord,Contra Costa,674,345,108265,158115,60631425,477,51885,0.042,0.004,0.11,0.005,0.062,0.299,0.479,0.345,0.269,0.582,0.362,0.874,0.33,0.133,0.122,423100,2200,506,1387,19057,71477,33149,2.75,33.5,4213.617021,128726
Corcoran,Kings,86,59,50061,64341,4863913,212,30863,0.103,0.018,0.01,0.002,0.036,0.65,0.181,0.771,0.199,0.429,0.506,0.588,0.033,0.169,0.362,111700,1057,320,752,2411,35531,8673,3.37,21,3028.915663,22626
Corona,Riverside,907,536,114496,165603,97026299,600,46350,0.047,0.005,0.112,0.005,0.042,0.422,0.367,0.474,0.264,0.651,0.413,0.843,0.266,0.15,0.117,378500,2192,562,1426,16516,72309,28182,3.26,36.5,4295.261396,166785
Coronado,San Diego,692,211,82499,97308,25856821,1040,77304,0.039,0.004,0.029,0.003,0.028,0.15,0.747,0.193,0.1,0.49,0.156,0.976,0.59,0.044,0.058,1332500,3610,948,2268,3518,92413,51674,2.35,18.6,3272.635561,25952
Corte Madera,Marin,137,39,128969,156983,8091690,834,103250,0.009,0,0.056,0,0.036,0.099,0.8,0.108,0.14,0.688,0.187,0.965,0.643,0.045,0.037,1061700,NA,836,2025,158556,125915,67253,2.55,33.2,3119.620253,9858
Costa Mesa,Orange,774,380,118317,163276,77577585,689,50240,0.017,0.004,0.087,0.006,0.038,0.355,0.494,0.376,0.252,0.385,0.386,0.847,0.374,0.18,0.135,637200,2561,475,1641,34092,70438,35280,2.71,22.5,7209.073482,112822
Cotati,Sonoma,55,33,79606,116334,4556106,614,51313,0.035,0,0.032,0.002,0.063,0.179,0.69,0.214,0.146,0.581,0.18,0.892,0.361,0.088,0.097,429700,2066,658,1327,18310,64754,34196,2.56,28.8,3965.425532,7455
Covina,Los Angeles,455,98,101885,121226,18238753,375,41873,0.039,0.008,0.119,0,0.052,0.548,0.234,0.595,0.232,0.546,0.451,0.859,0.274,0.117,0.105,415300,2129,476,1300,13881,65451,26008,3.17,33.1,6905.974395,48549
Crescent City,Del Norte,166,46,58079,72988,4689187,673,25478,0.077,0.033,0.034,0.002,0.04,0.354,0.459,0.464,0.075,0.308,0.2,0.682,0.094,0.095,0.291,120400,980,320,733,13237,27569,11647,2.23,16.9,3403.061224,6670
Cudahy,Los Angeles,61,19,77771,86470,2071949,85,25226,0.004,0.003,0.006,0.002,0.021,0.938,0.026,0.945,0.454,0.149,0.934,0.457,0.06,0.281,0.304,285900,1716,427,1154,3737,39058,11766,4.4,31.8,20422.0339,24098
