City,County,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,medianHome,medianMortgage,medianNonMort,medianRent,retail,medianIncome,perCapIncome,householdSize,commuteTime,popdensity,population
Santa Fe Springs,Los Angeles,407,174,87085,133250,29359034,1683,40244,0.036,0.018,0.068,0,0.033,0.763,0.083,0.817,0.256,0.611,0.558,0.789,0.15,0.15,0.122,371400,1899,337,1289,35971,58147,22922,3.36,28.9,2032.356257,18027
Santa Maria,Santa Barbara,803,411,79008,103990,57987286,559,27327,0.015,0.006,0.052,0.001,0.026,0.711,0.189,0.732,0.348,0.499,0.645,0.591,0.131,0.245,0.206,276800,1690,444,1205,15388,51939,18069,3.73,20.5,4670.035149,106290
Santa Monica,Los Angeles,3088,1782,87228,125611,303330749,3288,77427,0.041,0.005,0.099,0.001,0.048,0.159,0.647,0.205,0.232,0.275,0.292,0.95,0.67,0.09,0.113,1086300,3573,872,1626,54259,82123,62874,1.95,25.5,10983.13539,92478
Santa Paula,Ventura,190,107,87524,102350,12479153,412,31465,0.003,0.006,0.02,0.001,0.034,0.767,0.169,0.776,0.306,0.559,0.615,0.645,0.144,0.182,0.179,321800,1909,399,1142,6449,51549,21236,3.34,27.4,6608.932462,30335
Santa Rosa,Sonoma,1942,1196,85026,120754,164775943,951,42758,0.021,0.016,0.051,0.006,0.061,0.303,0.542,0.34,0.19,0.523,0.313,0.856,0.31,0.126,0.122,414800,2010,536,1371,16507,62705,31574,2.64,22.3,4242.068297,175155
Santee,San Diego,193,108,110341,140985,15967569,280,50951,0.02,0.004,0.046,0.004,0.069,0.177,0.681,0.201,0.096,0.7,0.152,0.932,0.277,0.078,0.07,363000,2154,529,1467,13552,77460,31611,2.83,27.2,3563.401109,57834
Saratoga,Santa Clara,99,56,87327,113033,7642239,247,151496,0.007,0.004,0.458,0,0.031,0.037,0.463,0.048,0.374,0.845,0.444,0.976,0.77,0.025,0.045,1742900,NA,1014,2410,NA,169579,79870,2.85,28.9,2485.218094,30767
Sausalito,Marin,151,66,78526,102966,8390251,1179,109090,0.024,0.006,0.031,0.003,0.007,0.072,0.857,0.102,0.137,0.492,0.139,0.987,0.723,0.067,0.056,1163500,3782,1291,1998,16191,116325,103261,1.75,32.2,4025.423729,7125
Scotts Valley,Santa Cruz,162,51,80003,117075,7540026,637,75526,0.006,0,0.079,0,0.038,0.109,0.768,0.115,0.123,0.727,0.143,0.963,0.528,0.041,0.045,654600,2996,745,2103,14101,104150,47946,2.76,28.7,2593.043478,11928
Seal Beach,Orange,248,87,103469,134144,14249527,581,74477,0.012,0.002,0.086,0.001,0.043,0.128,0.729,0.142,0.144,0.747,0.158,0.946,0.469,0.065,0.08,308400,2976,383,1678,13731,60222,48958,1.96,30.4,2164.747564,24440
Seaside,Monterey,280,113,110765,147475,18649839,546,30602,0.077,0.008,0.089,0.027,0.075,0.43,0.294,0.515,0.295,0.385,0.476,0.761,0.216,0.227,0.16,366400,1985,373,1482,15536,53406,21590,3.24,20,3713.419913,34312
Sebastopol,Sonoma,102,41,100576,128133,5936481,778,50799,0.011,0.004,0.012,0.006,0.04,0.122,0.805,0.137,0.112,0.498,0.125,0.946,0.447,0.084,0.107,543100,2160,553,1314,22118,58036,36365,2.18,25,4150.27027,7678
Selma,Fresno,115,77,68982,90014,7960677,328,29774,0.004,0.008,0.05,0.007,0.041,0.774,0.116,0.786,0.244,0.588,0.585,0.611,0.088,0.219,0.231,164500,1370,414,853,15090,41086,15686,3.61,24.2,4785.40856,24597
Shafter,Kern,269,158,54037,72428,15316013,860,31727,0.018,0.002,0.003,0,0.017,0.821,0.14,0.841,0.281,0.525,0.713,0.574,0.065,0.171,0.235,153600,1262,395,758,4251,41085,14869,3.82,24.8,677.8175313,18945
Shasta Lake,Shasta,63,46,72518,95520,5181935,510,36812,0.012,0.035,0.01,0.002,0.089,0.119,0.733,0.166,0.035,0.59,0.063,0.876,0.135,0.145,0.197,157300,1333,430,984,3639,46150,20786,2.73,20.6,930.5860806,10162
Sierra Madre,Los Angeles,183,59,62848,73666,6622274,598,81414,0.013,0.002,0.107,0.003,0.038,0.151,0.686,0.166,0.128,0.609,0.172,0.992,0.651,0.043,0.058,861200,3349,596,1469,3358,95256,52012,2.51,28.6,3748.135593,11057
Signal Hill,Los Angeles,190,90,84284,101055,12021441,1054,52515,0.11,0.003,0.203,0.006,0.055,0.368,0.255,0.481,0.305,0.449,0.487,0.848,0.388,0.191,0.156,446000,2455,578,1217,116708,70286,32382,2.78,30.9,5319.178082,11649
Simi Valley,Ventura,633,350,101813,126076,58648954,465,60590,0.013,0.005,0.09,0.001,0.047,0.246,0.598,0.264,0.186,0.724,0.261,0.91,0.325,0.094,0.06,472700,2441,540,1765,13293,91196,38927,2.97,29.5,3045.491803,126327
Solana Beach,San Diego,172,47,91823,111611,6888798,517,80750,0.005,0.002,0.031,0.001,0.056,0.13,0.776,0.137,0.156,0.578,0.172,0.944,0.65,0.119,0.065,1045900,3165,727,1892,15261,100352,62380,2.32,23.5,3820.738636,13449
Soledad,Monterey,72,48,72917,89522,5165656,201,32596,0.092,0.018,0.021,0.004,0.06,0.672,0.133,0.782,0.299,0.603,0.604,0.553,0.071,0.191,0.154,251800,1594,397,1168,2986,54878,12112,4.19,24.1,5809.977324,25622
Solvang,Santa Barbara,61,16,69542,84979,3070274,553,42059,0,0,0.018,0,0.022,0.267,0.693,0.267,0.177,0.58,0.235,0.937,0.402,0.12,0.11,658600,2606,957,1484,13031,69261,40128,2.25,22.8,2387.654321,5802
Sonoma,Sonoma,48,33,73717,96707,3864142,352,62813,0.001,0.001,0.026,0,0.023,0.142,0.807,0.144,0.098,0.563,0.144,0.937,0.426,0.117,0.107,621100,2627,790,1552,22590,71209,48736,2.12,27.1,4034.306569,11054
Sonora,Tuolumne,76,38,67205,75416,3693593,767,34631,0.001,0.001,0.026,0,0.023,0.142,0.807,0.144,0.098,0.563,0.144,0.937,0.426,0.117,0.107,621100,2627,790,1552,22590,71209,48736,2.12,27.1,4034.306569,11054
South El Monte,Los Angeles,179,39,57487,66761,4131258,200,25482,0.003,0.005,0.133,0,0.017,0.81,0.032,0.818,0.43,0.466,0.826,0.522,0.073,0.268,0.191,363100,1695,315,1155,16808,42460,15312,3.85,31.3,7353.169014,20883
South Gate,Los Angeles,478,235,66067,92996,33331765,350,30687,0.01,0.004,0.005,0.001,0.02,0.931,0.03,0.945,0.431,0.447,0.893,0.534,0.081,0.241,0.203,329000,1801,410,1012,7203,45522,15287,4.05,31.5,13195.85635,95538
South Lake Tahoe,El Dorado,342,146,91699,124462,23203823,1078,34783,0.016,0.002,0.053,0.002,0.025,0.327,0.575,0.345,0.201,0.443,0.326,0.846,0.233,0.191,0.163,343900,1793,486,892,14540,42401,25880,2.52,15.1,2137.5,21717
South Pasadena,Los Angeles,273,130,80422,96119,16157101,622,69271,0.027,0.001,0.29,0.001,0.074,0.194,0.413,0.222,0.271,0.44,0.389,0.959,0.615,0.103,0.091,876900,3160,605,1466,7591,84593,49229,2.54,28.6,7599.120235,25913
South San Francisco,San Mateo,1047,384,103003,147742,71982693,1081,47176,0.021,0.002,0.374,0.019,0.057,0.33,0.197,0.353,0.398,0.603,0.573,0.844,0.325,0.07,0.08,644500,2583,490,1607,17292,85076,34593,3.14,26.9,7328.227571,66980
Stanton,Orange,84,26,61310,82553,3312733,85,35271,0.021,0.01,0.248,0.005,0.034,0.498,0.184,0.529,0.439,0.493,0.679,0.695,0.165,0.204,0.22,322200,1824,515,1282,9932,48332,19360,3.4,28.8,12267.93651,38644
St. Helena,Napa,152,53,86702,115115,7615913,1270,55725,0.016,0,0.014,0.002,0.026,0.271,0.671,0.287,0.206,0.582,0.338,0.862,0.491,0.109,0.118,864900,3087,688,1483,29145,85505,55410,2.33,24.8,1233.266533,6154
Stockton,San Joaquin,1936,1212,83341,119942,175213053,581,36468,0.108,0.007,0.204,0.007,0.083,0.39,0.201,0.505,0.26,0.479,0.461,0.748,0.174,0.14,0.237,191000,1528,418,967,11058,46033,20688,3.15,28.4,4979.276796,307072
Suisun City,Solano,149,67,64413,88623,8230301,283,44510,0.207,0.006,0.189,0.013,0.082,0.237,0.266,0.45,0.225,0.597,0.308,0.884,0.19,0.1,0.148,255800,1769,410,1580,2779,71563,26721,3.25,32.5,7178.832117,29505
Sunnyvale,Santa Clara,1447,736,96070,140023,138496361,925,98999,0.02,0.004,0.428,0.005,0.039,0.176,0.328,0.2,0.464,0.464,0.557,0.913,0.616,0.07,0.07,859100,2944,661,1949,11580,109799,53133,2.68,24,6947.294225,152771
Susanville,Lassen,92,51,65947,86752,5137628,330,39643,0.139,0.027,0.024,0.016,0.026,0.256,0.513,0.422,0.064,0.483,0.248,0.728,0.084,0.077,0.228,161300,1382,389,902,10961,46863,13165,2.27,17.4,1871.752837,14843
Sutter Creek,Amador,24,12,70183,99522,1273606,512,32292,0.139,0.027,0.024,0.016,0.026,0.256,0.513,0.422,0.064,0.483,0.248,0.728,0.084,0.077,0.228,161300,1382,389,902,10961,46863,13165,2.27,17.4,1871.752837,14843
Taft,Kern,197,113,50281,63277,9300906,1018,52188,0.023,0.004,0.038,0,0.087,0.385,0.463,0.412,0.268,0.586,0.392,0.722,0.106,0.16,0.245,150700,1235,419,709,10742,49844,19601,2.76,20.1,620.3176704,9373
Tehachapi,Kern,85,52,66751,87370,5441405,412,38681,0.074,0.012,0.021,0.003,0.025,0.337,0.529,0.423,0.117,0.618,0.283,0.751,0.095,0.093,0.184,180300,1419,336,792,16266,42961,16108,2.71,21.1,1265.957447,12495
Temecula,Riverside,385,138,83948,111565,19770097,181,53725,0.041,0.009,0.103,0.003,0.066,0.253,0.526,0.303,0.164,0.645,0.216,0.917,0.322,0.106,0.067,360500,2128,580,1629,24161,83840,30397,3.3,34.2,3749.718076,113054
Temple City,Los Angeles,130,32,71442,93069,4828029,133,42317,0.006,0.002,0.594,0.003,0.025,0.198,0.172,0.206,0.487,0.644,0.672,0.848,0.368,0.146,0.11,632700,2298,533,1296,8305,63756,27014,3.13,30.9,9068.578554,36365
Thousand Oaks,Ventura,609,329,75872,101209,42573740,331,74716,0.011,0.003,0.094,0.001,0.038,0.18,0.673,0.194,0.189,0.702,0.241,0.927,0.496,0.096,0.065,637100,2736,640,1896,22432,101045,47423,2.76,25.8,2342.140651,128888
Tiburon,Marin,44,34,98237,119958,4662109,508,171131,0.011,0.003,0.094,0.001,0.038,0.18,0.673,0.194,0.189,0.702,0.241,0.927,0.496,0.096,0.065,637100,2736,640,1896,22432,101045,47423,2.76,25.8,2342.140651,128888
Torrance,Los Angeles,2019,1089,89748,111516,174370265,1183,63384,0.025,0.004,0.335,0.005,0.065,0.172,0.394,0.201,0.289,0.55,0.387,0.937,0.471,0.091,0.069,652600,2658,502,1512,25735,80862,39269,2.65,27.8,7187.255859,147195
Tracy,San Joaquin,586,369,99420,136979,59565048,689,51164,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,332300,2085,551,1542,12302,81022,27092,3.46,42.5,4057.909091,89274
Trinidad,Humboldt,7,6,49401,68851,430073,2057,51250,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,332300,2085,551,1542,12302,81022,27092,3.46,42.5,4057.909091,89274
Truckee,Nevada,174,88,72841,98123,11735511,723,48916,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,332300,2085,551,1542,12302,81022,27092,3.46,42.5,4057.909091,89274
Tulare,Tulare,587,286,58502,80999,28937098,469,33218,0.033,0.01,0.022,0.002,0.033,0.565,0.335,0.608,0.203,0.573,0.447,0.718,0.122,0.157,0.222,163100,1335,383,941,13262,47196,18707,3.31,20.3,2999.474439,62779
Tulelake,Siskiyou,23,2,50694,62778,406912,414,25455,0.033,0.01,0.022,0.002,0.033,0.565,0.335,0.608,0.203,0.573,0.447,0.718,0.122,0.157,0.222,163100,1335,383,941,13262,47196,18707,3.31,20.3,2999.474439,62779
Turlock,Stanislaus,714,291,76070,112411,39133588,549,40362,0.023,0.005,0.056,0.002,0.039,0.371,0.504,0.399,0.232,0.521,0.429,0.804,0.229,0.119,0.163,238800,1601,423,966,13718,51555,24582,2.89,23.3,4299.8228,72796
Tustin,Orange,426,246,94817,118696,34091565,429,43558,0.024,0.005,0.22,0.004,0.047,0.408,0.293,0.437,0.356,0.484,0.552,0.847,0.401,0.142,0.139,543200,2462,572,1611,28260,70822,32375,3.05,24.6,7255.866426,80395
Twentynine Palms,San Bernardino,68,29,59399,82277,2881863,111,31646,0.086,0.015,0.037,0.005,0.072,0.224,0.561,0.325,0.05,0.294,0.123,0.896,0.223,0.088,0.216,118400,1183,307,943,2915,40888,20101,2.69,15.4,440.4633074,26049
Ukiah,Mendocino,330,172,72792,103020,19947015,1255,35583,0.009,0.031,0.017,0.008,0.05,0.284,0.602,0.324,0.124,0.431,0.236,0.836,0.222,0.161,0.228,281400,1749,355,961,27778,38686,25736,2.49,15.7,3400.856531,15882
Union City,Alameda,557,201,100365,132670,33537951,456,52423,0.049,0.005,0.509,0.016,0.066,0.209,0.148,0.263,0.446,0.652,0.616,0.892,0.362,0.074,0.079,561200,2599,577,1756,8655,91629,32515,3.52,33.3,3868.618387,75322
Upland,San Bernardino,406,223,95548,138421,34637014,456,45592,0.058,0.004,0.079,0.001,0.044,0.399,0.415,0.461,0.19,0.546,0.339,0.887,0.301,0.119,0.156,444200,2240,525,1253,11727,62369,29988,2.77,30.9,4909.346991,76684
Vacaville,Solano,941,442,98569,152764,81113538,848,50537,0.097,0.006,0.07,0.003,0.082,0.22,0.523,0.323,0.119,0.597,0.193,0.887,0.23,0.078,0.099,322600,2023,484,1416,16893,76188,31040,2.79,26.6,3465.033486,98303
Vallejo,Solano,566,485,103310,154691,83631007,699,44271,0.209,0.004,0.231,0.01,0.07,0.239,0.237,0.452,0.274,0.548,0.37,0.873,0.244,0.134,0.169,254100,1831,427,1250,9742,59600,26828,2.84,34,3954.972286,121299
Ventura,Ventura,1098,519,90241,108781,75623816,693,50842,0.209,0.004,0.231,0.01,0.07,0.239,0.237,0.452,0.274,0.548,0.37,0.873,0.244,0.134,0.169,254100,1831,427,1250,9742,59600,26828,2.84,34,3954.972286,121299
Vernon,Los Angeles,290,215,125883,176945,43412102,429822,20000,0.209,0.004,0.231,0.01,0.07,0.239,0.237,0.452,0.274,0.548,0.37,0.873,0.244,0.134,0.169,254100,1831,427,1250,9742,59600,26828,2.84,34,3954.972286,121299
Victorville,San Bernardino,468,299,60842,79532,29603842,244,35955,0.174,0.009,0.033,0.002,0.054,0.507,0.221,0.69,0.177,0.546,0.345,0.801,0.121,0.149,0.25,158900,1390,402,1154,14217,45895,16498,3.62,34.2,1670.743373,122265
Villa Park,Orange,16,5,85703,107260,622269,105,99044,0.025,0,0.181,0,0.021,0.085,0.688,0.11,0.172,0.945,0.208,0.959,0.558,0.051,0.054,1030800,3944,872,2913,4556,131386,59232,2.95,26.2,2845.192308,5918
Visalia,Tulare,931,530,77264,108988,67394027,523,37792,0.019,0.012,0.057,0.001,0.044,0.473,0.393,0.504,0.142,0.59,0.33,0.818,0.235,0.109,0.221,190500,1477,382,939,14744,52099,23068,3.03,21.2,3615.834483,131074
Vista,San Diego,856,269,75248,99020,32165570,326,34862,0.03,0.004,0.051,0.002,0.035,0.474,0.404,0.508,0.25,0.477,0.404,0.781,0.212,0.185,0.17,392700,2131,528,1331,12698,54203,23463,3.16,24,5442.130621,101659
Walnut,Los Angeles,129,37,72706,89481,4594943,153,56080,0.03,0.003,0.625,0,0.033,0.202,0.107,0.235,0.501,0.84,0.646,0.929,0.511,0.09,0.077,679700,2665,598,2051,7749,97345,36629,3.33,36.5,3342.269188,30047
Walnut Creek,Contra Costa,830,307,97885,136932,49899805,738,87923,0.011,0.002,0.137,0.002,0.039,0.084,0.725,0.097,0.223,0.637,0.249,0.977,0.618,0.072,0.065,647400,2883,844,1721,30029,82848,53849,2.16,32.7,3498.076923,69122
Wasco,Kern,74,45,48680,57925,3984557,152,28455,0.065,0.006,0.007,0.002,0.026,0.785,0.11,0.856,0.28,0.506,0.712,0.528,0.04,0.201,0.295,152300,1158,341,688,3864,39559,10582,3.89,25.8,2799.045599,26395
Waterford,Stanislaus,27,13,65277,89313,1440468,165,40547,0.017,0.004,0.022,0.001,0.058,0.442,0.456,0.463,0.206,0.648,0.386,0.632,0.087,0.15,0.24,168700,1394,434,901,3565,49500,17617,3.61,28.9,3803.004292,8861
Watsonville,Santa Cruz,616,322,76652,100520,42901800,810,28704,0.003,0.011,0.029,0.002,0.018,0.8,0.138,0.814,0.374,0.396,0.757,0.586,0.119,0.178,0.176,361000,1929,441,1285,43047,49487,17398,3.74,23.4,8041.255605,53796
Weed,Siskiyou,46,26,51532,64983,2072181,753,33047,0.003,0.011,0.029,0.002,0.018,0.8,0.138,0.814,0.374,0.396,0.757,0.586,0.119,0.178,0.176,361000,1929,441,1285,43047,49487,17398,3.74,23.4,8041.255605,53796
West Covina,Los Angeles,841,282,118447,174131,50682720,470,41031,0.039,0.006,0.272,0.001,0.04,0.52,0.121,0.565,0.35,0.644,0.577,0.84,0.274,0.139,0.105,430800,2115,464,1449,13741,71217,25437,3.49,34.5,6723.628429,107847
West Hollywood,Los Angeles,339,187,111261,146979,32384809,908,60685,0.043,0.002,0.051,0.001,0.054,0.116,0.732,0.161,0.248,0.205,0.329,0.966,0.649,0.132,0.137,642200,2797,821,1446,33923,61127,60680,1.6,26.7,19416.93122,36698
Westlake Village,Los Angeles,22,9,88017,112786,1707601,202,106822,0.011,0.001,0.082,0,0.044,0.073,0.789,0.085,0.147,0.868,0.138,0.981,0.677,0.034,0.062,819900,3032,766,2354,35900,130272,68453,2.48,27.6,1628.516378,8452
Westminster,Orange,374,199,100399,125772,29404644,320,40309,0.008,0.005,0.472,0.002,0.032,0.236,0.245,0.249,0.451,0.527,0.646,0.768,0.228,0.152,0.179,499400,2213,483,1364,16048,55287,23755,3.35,27.7,9110.945274,91565
Westmorland,Imperial,34,7,60814,68380,875025,434,27826,0.008,0.005,0.472,0.002,0.032,0.236,0.245,0.249,0.451,0.527,0.646,0.768,0.228,0.152,0.179,499400,2213,483,1364,16048,55287,23755,3.35,27.7,9110.945274,91565
West Sacramento,Yolo,750,312,94220,120480,44858739,872,41410,0.039,0.007,0.103,0.01,0.084,0.302,0.456,0.348,0.232,0.543,0.391,0.834,0.266,0.124,0.163,276400,1872,445,907,11062,57023,26414,2.85,23.3,2472.281848,52981
Wheatland,Yuba,37,18,62695,67037,1589606,439,48464,0.039,0.007,0.103,0.01,0.084,0.302,0.456,0.348,0.232,0.543,0.391,0.834,0.266,0.124,0.163,276400,1872,445,907,11062,57023,26414,2.85,23.3,2472.281848,52981
Whittier,Los Angeles,788,255,75789,117467,48936067,564,44198,0.016,0.003,0.048,0.002,0.031,0.664,0.237,0.683,0.181,0.572,0.423,0.841,0.248,0.123,0.118,458500,2285,460,1222,7193,67431,28508,3.08,31.7,5930.580205,86883
Wildomar,Riverside,17,10,77082,103696,1479910,42,40989,0.051,0.009,0.049,0.004,0.031,0.391,0.465,0.451,0.193,0.699,0.33,0.832,0.166,0.14,0.161,266900,1775,445,1405,3329,62976,22707,3.53,37,1521.401435,36042
Williams,Colusa,40,29,62040,86046,2957373,573,31592,0.011,0.003,0.025,0,0.012,0.758,0.191,0.772,0.4,0.654,0.691,0.538,0.084,0.228,0.139,162700,1439,402,1012,7188,55900,23100,3.49,23,954.4117647,5192
Willits,Mendocino,81,37,64716,85425,4276456,882,32473,0.011,0.003,0.025,0,0.012,0.758,0.191,0.772,0.4,0.654,0.691,0.538,0.084,0.228,0.139,162700,1439,402,1012,7188,55900,23100,3.49,23,954.4117647,5192
Willows,Glenn,89,21,61848,82534,2583060,424,27927,0.019,0.036,0.031,0,0.065,0.371,0.478,0.426,0.211,0.387,0.366,0.71,0.109,0.179,0.184,190600,1212,412,747,13625,39038,20670,2.71,17.2,2132.280702,6077
Windsor,Sonoma,195,87,84152,112656,11489139,420,53596,0.019,0.036,0.031,0,0.065,0.371,0.478,0.426,0.211,0.387,0.366,0.71,0.109,0.179,0.184,190600,1212,412,747,13625,39038,20670,2.71,17.2,2132.280702,6077
Winters,Yolo,106,36,86497,113242,4595928,659,40151,0.008,0.009,0.008,0,0.04,0.518,0.418,0.535,0.256,0.656,0.423,0.765,0.25,0.141,0.082,283600,1741,459,998,2545,67229,29549,2.99,29.1,2454.982818,7144
Woodlake,Tulare,42,21,59048,76746,2093366,276,25974,0.005,0.003,0,0.003,0.014,0.853,0.123,0.861,0.293,0.59,0.714,0.559,0.072,0.155,0.332,121300,1066,300,629,2316,34583,12272,3.61,26.7,3388,7623
Woodland,Yolo,545,258,84067,118058,34994783,608,40100,0.013,0.013,0.082,0.003,0.035,0.448,0.407,0.474,0.232,0.549,0.426,0.796,0.252,0.144,0.136,288200,1750,449,1012,12498,56956,25913,2.85,21.5,3860.653595,59068
Woodside,San Mateo,31,16,105579,127813,2342817,426,184297,0.013,0.013,0.082,0.003,0.035,0.448,0.407,0.474,0.232,0.549,0.426,0.796,0.252,0.144,0.136,288200,1750,449,1012,12498,56956,25913,2.85,21.5,3860.653595,59068
Yorba Linda,Orange,241,86,78065,102385,11970302,177,79358,0.011,0.001,0.175,0.001,0.053,0.162,0.597,0.174,0.19,0.824,0.246,0.958,0.52,0.057,0.038,728300,3037,706,1777,8469,119697,48249,3.07,32.1,3502.823409,68235
Yountville,Napa,88,25,71366,101380,3444142,1151,80955,0.011,0.001,0.175,0.001,0.053,0.162,0.597,0.174,0.19,0.824,0.246,0.958,0.52,0.057,0.038,728300,3037,706,1777,8469,119697,48249,3.07,32.1,3502.823409,68235
Yreka,Siskiyou,137,27,64134,78689,3969957,522,33466,0.004,0.06,0.008,0.004,0.07,0.095,0.76,0.159,0.033,0.52,0.048,0.847,0.164,0.093,0.312,149800,1164,411,758,22554,30202,19939,2.27,14.2,761.1222445,7596
Yuba City,Sutter,517,215,86489,122616,33942033,513,36918,0.024,0.007,0.182,0.004,0.063,0.279,0.441,0.31,0.249,0.527,0.404,0.793,0.177,0.156,0.183,210200,1496,468,945,15592,50788,23200,2.96,25.4,4584.705075,66845
Yucaipa,San Bernardino,219,42,64506,85047,5318940,100,47448,0.015,0.004,0.023,0.013,0.031,0.329,0.585,0.348,0.106,0.724,0.217,0.866,0.199,0.122,0.175,241700,1800,455,1031,5195,55700,25313,2.88,28,1911.401936,53309
Yucca Valley,San Bernardino,81,32,58349,79985,3367637,157,36401,0.015,0.004,0.023,0.013,0.031,0.329,0.585,0.348,0.106,0.724,0.217,0.866,0.199,0.122,0.175,241700,1800,455,1031,5195,55700,25313,2.88,28,1911.401936,53309
